“очка,Ўирота,ƒолгота,у,х,NDVI,SAVI,REVI,EVI,TVI,GNDVI,NDII,CVI,PRI,NDRE,OSAVI,ARVI,VARI
ѕв1заг2,54.213149,69.513474,59,34,0.3209549071618037,0.48136851876408965,0.45189504373177836,0.6765824200402595,0.5665288228870652,2406.725,0.010757052973411813,0.9453125,0.14524207011686144,0.18430439952437574,0.3209412863114563,0.11876075731497418,-0.17647058823529413
«аг2пв,54.215103,69.514337,37,40,0.31592967501331914,0.4738314023172193,0.46848989298454224,0.7285012285012284,0.5620762181531248,2392.0764,-0.006436041834271922,0.9236760124610592,0.1341874578556979,0.18978805394990367,0.31591621028405825,0.12235133287764867,-0.17089452603471295
ѕв«ј√2ќЅ–1,54.213129,69.51431,59,40,0.3243395165823496,0.4864409161163412,0.5112251443232843,0.7151710461080814,0.5695081356594913,nan,0.005977796754910333,0.9600665557404326,0.1293009779065556,0.20357598978288632,0.3243249319873193,0.12550018188432158,-0.1782178217821782
ѕв«ј√2ќЅ–2,54.213864,69.515271,51,46,0.31653888280394304,0.4747433264887063,0.4802955665024631,0.7121734844751109,0.5626178834732709,nan,0.002711157455683003,0.9262820512820513,0.1309192200557103,0.1936444885799404,0.3165250153333918,0.12081718915110955,-0.16238159675236807
ѕв«ј√2ќЅ–10,54.21459,69.516632,43,55,0.3001215066828676,0.4501138952164009,0.39960758665794627,0.6761565836298933,0.5478334661946709,nan,-0.10833333333333334,0.8576388888888888,0.14061917195076465,0.166530389751976,0.3001069206842924,0.10766847405112316,-0.17507418397626112
ѕв«аг3обр10,54.214125,69.517558,48,61,0.36039360393603936,0.5405073020753266,0.5833929849677881,0.8364259206394519,0.6003279136738848,nan,-0.0758303739293921,1.126923076923077,0.14649158801805498,0.2258243280687171,0.360375873265768,0.15993537964458804,-0.13237639553429026
ѕв3обр6,54.213925,69.51903,50,70,0.33762057877813506,0.5063494615013664,0.5510812826249067,0.8111866501854141,0.5810512703523976,2048.81,-0.09368191721132897,1.0194174757281553,0.13116828342471532,0.21601870798012276,0.337603210124238,0.14345114345114346,-0.12550607287449392
ѕв3обр5,54.213274,69.517736,58,62,0.4313654473017023,0.6469310157523085,0.8211981566820277,1.0683530678148547,0.6567841710194471,1907.3751,-0.10079635949943117,1.5171974522292992,0.16042780748663102,0.2910813459653708,0.4313404511147489,0.22774225282833252,-0.06382978723404255
ѕв3обр4,54.213185,69.516977,59,57,0.32217573221757323,0.4831793620359073,0.483568075117371,0.7826528883618499,0.5676052609142848,1814.2306,-0.1457535480964181,0.9506172839506173,0.136,0.1947069943289225,0.32215775967867905,0.1315613133794952,-0.14048865619546247
ѕв3обр3,54.212929,69.516105,61,51,0.3244246473645137,0.48654666914084244,0.4991596638655462,0.8003663003663004,0.5695828713756355,1719.7216,-0.1522927061059634,0.9604395604395604,0.13333333333333333,0.19973100201748487,0.32440538052676904,0.1345696623870661,-0.13619402985074627
ѕв3обр2,54.212657,69.515235,65,46,0.3098901098901099,0.46475004577916135,0.505050505050505,0.7418449666783584,0.556677743304068,1742.0215,-0.14551971326164875,0.8980891719745223,0.11549295774647887,0.20161290322580644,0.30987194889676795,0.12044817927170869,-0.16911764705882354
ѕв3обр1,54.212449,69.514425,67,41,0.3154459753444525,0.4730831973898858,0.4138737334372564,0.789760348583878,0.5616457739042042,nan,-0.141301775147929,0.9216101694915255,0.1522227211495285,0.171456247981918,0.3154276764219625,0.1283471837488458,-0.12724014336917563
ѕв2обр7,54.212721,69.514631,64,42,0.312242090784044,0.46828261990716863,0.5387096774193549,0.7445063955395211,0.5587862657439283,1850.9827,-0.12537245014898005,0.9079999999999999,0.10714285714285714,0.2121982210927573,0.312224911971831,0.12203687445127305,-0.151618398637138
146,54.213049,69.515212,60,46,0.3046594982078853,0.4569073642716359,0.5141430948419301,0.7034094670638862,0.5519596889337892,1766.1654,-0.15427509293680297,0.8762886597938144,0.10681399631675875,0.20450033090668432,0.3046420276973364,0.113345521023766,-0.16038562664329536
ѕв3обр8,54.213043,69.515258,60,46,0.3046594982078853,0.4569073642716359,0.5141430948419301,0.7034094670638862,0.5519596889337892,1766.1654,-0.15427509293680297,0.8762886597938144,0.10681399631675875,0.20450033090668432,0.3046420276973364,0.113345521023766,-0.16038562664329536
ѕв3обр9,54.21239,69.513365,68,34,0.3085427135678392,0.4627559351840221,0.4761904761904763,0.653747870528109,0.5554662128049187,nan,0.01818181818181818,0.8924418604651163,0.12356687898089172,0.19230769230769232,0.30853031033928285,0.10909679507931369,-0.18696186961869618
